protein,rmsd,pose_rank_for_rmsd
1z9g,1.9623132594750716,4
1z9g,2.025520147728383,5
2al5,0.6444110759877895,1
2al5,0.6229955938242487,2
2al5,0.6493747177248659,3
2al5,0.6469779229702651,4
2al5,0.6480330905323615,5
2br1,0.9610433676024075,1
2br1,1.187660744434532,2
2br1,1.1927653755067231,3
2br1,0.8981350607534848,4
2br1,1.196487405262515,5
2brb,0.8878201302030853,1
2brb,0.8495186540573059,2
2brb,0.8553201107345949,3
2brb,0.8908244513133772,4
2brb,0.8525186787299355,5
2c3i,1.3443706183598696,1
2c3i,1.4010842896047402,2
2c3i,1.3472490272649233,3
2c3i,1.3141134738088496,4
2c3i,1.3015135726664433,5
2cbv,1.2220455149769744,1
2cbv,1.2244088695349642,2
2cbv,1.2202862465935915,3
2cbv,1.2100503404386653,4
2cbv,1.219278572113511,5
2cet,1.422824152144245,1
2cet,1.5849071562163253,2
2cet,1.42755354961298,3
2cet,1.406281090197818,4
2cet,1.5840175578225117,5
2fvd,1.1682193297011787,1
2fvd,1.1844798105367849,2
2fvd,1.4374955487400207,3
2fvd,1.2133275778588453,4
2fvd,1.309977375971914,5
2fxs,2.446991912087041,1
2fxs,2.4704911909396956,2
2fxs,2.4865793074206044,3
2fxs,2.4882069855444566,4
2fxs,2.439139438232841,5
2hb1,1.18188507585588,1
2hb1,1.077759359115163,2
2hb1,1.1761293990738269,3
2hb1,1.2211768575202333,4
2hb1,1.183205196120938,5
2iwx,1.306298644756413,1
2iwx,1.318672364501828,2
2iwx,1.3872032410284851,3
2iwx,1.4107013725458057,4
2iwx,1.3161593742998239,5
2j78,0.278330818231624,1
2j78,0.3814752368725569,2
2j78,0.3741449150044737,3
2j78,0.3847520569749109,4
2j78,0.27429174974544507,5
2j7h,0.6399288937180534,1
2j7h,0.6024730530696936,2
2j7h,0.6173730383007527,3
2j7h,0.6153844242168999,4
2j7h,0.6085490284705466,5
2p15,0.9236726734057478,1
2p15,0.8073155336814308,2
2p15,0.811690765913277,3
2p15,0.6744610826158995,4
2p15,0.9704176333578494,5
2p4y,2.5595331118635776,1
2p4y,2.4464351549643495,2
2p4y,2.453058555887472,3
2p4y,2.434040792756506,4
2p4y,2.515200896447552,5
2pog,0.7591043576855158,1
2pog,0.9965522714877685,2
2pog,0.750363250682592,3
2pog,0.7554335572926556,4
2pog,0.7708302398822274,5
2qbp,1.914172575925403,1
2qbp,1.5715615293088891,2
2qbp,1.9003828741806803,3
2qbp,1.6818352822621971,4
2qbp,1.483742014718996,5
2qbq,2.0543515604770146,1
2qbq,1.481907527141545,2
2qbq,2.135809935495798,3
2qbq,1.5060550796398902,4
2qbq,1.946840671720883,5
2qbr,1.231644505925131,1
2qbr,1.235838599514811,2
2qbr,1.4105450610952452,3
2qbr,1.203398623109223,4
2qbr,1.4802923360101148,5
2qe4,1.4231218107488304,1
2qe4,1.352075907621893,2
2qe4,1.5745684657959174,3
2qe4,1.371845485952514,4
2qe4,1.2281999679848545,5
2qnq,4.104557420859594,1
2qnq,3.951649063487837,2
2qnq,3.062617178738056,3
2qnq,3.915981972335196,4
2qnq,3.8977164595093816,5
2r9w,1.8315312063538238,1
2r9w,1.8313066609356123,2
2r9w,1.0301584715261525,3
2r9w,1.822571634464617,4
2r9w,1.8310938604698053,5
2v00,1.4068555353092358,1
2v00,0.992517406721097,2
2v00,0.9828289339370058,3
2v00,1.4041505336391742,4
2v00,0.9928814967667586,5
2v7a,1.9555351376412502,1
2v7a,1.7863432219111417,2
2v7a,2.015083285672472,3
2v7a,1.7858944528938105,4
2v7a,1.961054691497465,5
2vkm,1.045935640277588,1
2vkm,0.9002230479579452,2
2vkm,1.0418705479778716,3
2vkm,0.8156241352810989,4
2vkm,0.9299787294359037,5
2vvn,0.7792668015753166,1
2vvn,0.7660571107120877,2
2vvn,0.7818976216422683,3
2vvn,0.7840236330127893,4
2vvn,0.7714022426860844,5
2w4x,1.3651804610367957,1
2w4x,1.3944367131065212,2
2w4x,1.457415884400799,3
2w4x,1.3798002628921457,4
2w4x,1.3841030678055197,5
2w66,1.3933698254787188,1
2w66,1.1137101234347346,2
2w66,1.3869197706418073,3
2w66,1.3824423228273823,4
2w66,1.3920040812630823,5
2wbg,1.84236749052272,1
2wbg,1.8731346037710441,2
2wbg,2.5129343450287642,3
2wbg,1.8461317269795972,4
2wbg,1.8590631610988815,5
2weg,1.06940724786197,1
2weg,1.0615320479493076,2
2weg,1.0601115671949746,3
2weg,1.0636025887390401,4
2weg,1.0616337454004314,5
2wer,1.1954775008625524,1
2wer,1.2051085244749653,2
2wer,1.194064976069093,3
2wer,1.1973329645764312,4
2wer,1.1944425001073908,5
2wn9,1.2649982653756835,1
2wn9,1.261878805293376,2
2wn9,1.2564198249040566,3
2wn9,1.1891593909395293,4
2wn9,1.261108847650926,5
2wnc,1.2181755176632272,1
2wnc,1.2146987318744635,2
2wnc,1.6402930829254958,3
2wnc,1.2108701827224575,4
2wnc,1.3851831486262443,5
2wtv,0.8737944335232672,1
2wtv,1.3613149418134627,2
2wtv,1.6897377374181464,3
2wtv,1.184884973592451,4
